# ----------------------------------------
# Pages et écrans: Chemin de la page et classe de l'écran
# Compte : Getup Agency
# Propriété : Bricometal.shop
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260102
# Date de fin : 20260129
Chemin de la page et classe de l'écran,Vues,Utilisateurs actifs,Vues par utilisateur actif,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements,Événements clés,Revenu total
/cylindres-et-poignees-locinox/621-paire-de-bequilles-en-nylon-locinox-carre-de-8mm-noire-5414768018743.html,46,22,2.090909090909091,27.772727272727273,224,0,0
/fermes-portes/4893-ferme-portail-hydraulique-puissant-et-polyvalent-pour-installation-murale-en-argent-5414768056370.html,46,37,1.2432432432432432,65.05405405405405,243,0,0
/module/dgquotation/list,46,25,1.84,26.56,102,0,0
/verrous-targettes/182-verrou-de-sol-automatique-a-ressort-pour-portail-inox-304-8016504041922.html,46,31,1.4838709677419355,60.67741935483871,231,0,0
/474-radius-optimum-ouverture-de-450m,45,25,1.8,21.2,94,0,0
/serrures-a-encastrer/2377-serrure-a-encastrer-en-acier-inoxydable-sans-poignees-pour-profil-de-60mm-mini-5414768015377.html,45,34,1.3235294117647058,22.264705882352942,225,0,0
/290-panneaux-longs,44,35,1.2571428571428571,24.428571428571427,112,0,0
/422-verrous,44,14,3.142857142857143,46.357142857142854,99,0,0
/cylindres-et-poignees-locinox/629-paire-de-bequilles-locinox-kidloc-bouton-de-securite-3-points-carre-de-8-mm-5414768002599.html,44,24,1.8333333333333333,57.125,193,0,0
/gonds-portillon/5662-charniere-180-reglable-quadridimensionnel-locinox-pour-portails-portes-et-portillons-m12-tige-filetee-90mm-galvanise-5414768058763.html,44,19,2.3157894736842106,88,202,0,0
